name,essround,edition,proddate,idno,cntry,dweight,pspwght,pweight,anweight,nwspol,netusoft,netustm,ppltrst,pplfair,pplhlp,polintr,psppsgva,actrolga,psppipla,cptppola,trstlgl,trstplc,trstplt,trstep,trstun,trstprt,trstprl,vote,prtvtbat,prtvtcbe,prtvtfch,prtvtdcz,prtvede1,prtvede2,prtvtfee,prtvtdes,prtvtdfi,prtvtcfr,prtvtbgb,prtvtehu,prtvtbie,prtvtcil,prtvtbis,prtvtbit,prtvblt1,prtvblt2,prtvblt3,prtvtfnl,prtvtbno,prtvtdpl,prtvtcpt,prtvtdru,prtvtbse,prtvtesi,contplt,wrkprty,wrkorg,badge,sgnptit,pbldmn,bctprd,pstplonl,clsprty,prtclcat,prtclcbe,prtclfch,prtcldcz,prtclede,prtclfee,prtclees,prtcldfi,prtclefr,prtclbgb,prtclfhu,prtcldie,prtcldil,prtclbis,prtclcit,prtclblt,prtclenl,prtclbno,prtclgpl,prtclept,prtcldru,prtclbse,prtclesi,prtdgcl,lrscale,stflife,stfeco,stfgov,stfdem,stfedu,stfhlth,gincdif,mnrgtjb,freehms,hmsfmlsh,hmsacld,euftf,imsmetn,imdfetn,impcntr,imbgeco,imueclt,imwbcnt,happy,sclmeet,inprdsc,sclact,crmvct,aesfdrk,health,hlthhmp,atchctr,atcherp,rlgblg,rlgdnm,rlgdnbat,rlgdnbe,rlgdnach,rlgdnade,rlgdnafi,rlgdngb,rlgdnhu,rlgdnie,rlgdnis,rlgdnlt,rlgdnnl,rlgdnno,rlgdnapl,rlgdnase,rlgblge,rlgdnme,rlgdebat,rlgdebe,rlgdeach,rlgdeade,rlgdeafi,rlgdegb,rlgdehu,rlgdeie,rlgdeis,rlgdelt,rlgdenl,rlgdeno,rlgdeapl,rlgdease,rlgdgr,rlgatnd,pray,dscrgrp,dscrrce,dscrntn,dscrrlg,dscrlng,dscretn,dscrage,dscrgnd,dscrsex,dscrdsb,dscroth,dscrdk,dscrref,dscrnap,dscrna,ctzcntr,ctzshipc,brncntr,cntbrthc,livecnta,lnghom1,lnghom2,blgetmg,facntr,fbrncntb,mocntr,mbrncntb,gvrfgap,rfgfrpc,rfgbfml,eneffap,rdcenr,cflsenr,elgcoal,elgngas,elghydr,elgnuc,elgsun,elgwind,elgbio,wrpwrct,wrenexp,wrdpimp,wrdpfos,wrntdis,wrinspw,wrtcfl,wrtratc,clmchng,clmthgt1,clmthgt2,ccnthum,ccrdprs,wrclmch,ccgdbd,lkredcc,lklmten,gvsrdcc,ownrdcc,inctxff,sbsrnen,banhhap,dfincac,smdfslv,uemplwk,slvpens,slvuemp,gvslvol,gvslvue,gvcldcr,sbstrec,sbprvpv,sbeqsoc,sbbsntx,sblazy,sblwcoa,imsclbn,uentrjb,lbenent,bennent,admub,ubpay,ubedu,ubunp,ub50pay,ub50edu,ub50unp,ub20pay,ub20edu,ub20unp,ubsppay,ubspedu,ubspunp,bnlwinc,eduunmp,wrkprbf,basinc,eusclbf,eudcnbf,lkuemp,lknemny,vteurmmb,vteumbgb,vteubcmb,hhmmb,gndr,gndr2,gndr3,gndr4,gndr5,gndr6,gndr7,gndr8,gndr9,gndr10,gndr11,gndr12,yrbrn,agea,yrbrn2,yrbrn3,yrbrn4,yrbrn5,yrbrn6,yrbrn7,yrbrn8,yrbrn9,yrbrn10,yrbrn11,yrbrn12,rshipa2,rshipa3,rshipa4,rshipa5,rshipa6,rshipa7,rshipa8,rshipa9,rshipa10,rshipa11,rshipa12,icpart1,rshpsts,rshpsfi,rshpsgb,lvgptnea,dvrcdeva,icpart2,iccohbt,marsts,marstfi,marstgb,maritalb,chldhm,chldhhe,domicil,eisced,edulvlb,edlveat,edlvebe,edlvdch,edlvdcz,edubde1,eduade2,eduade3,edlvdee,edlvges,edlvdfi,edlvdfr,edubgb1,eduagb2,edagegb,edlvdhu,edlvdie,edubil1,eduail2,edlvdis,edlvdit,edlvdlt,edlvenl,edlvdno,edlvepl,edupl2,edlvdpt,edlvdru,edlvdse,edlvesi,eduyrs,pdwrk,edctn,uempla,uempli,dsbld,rtrd,cmsrv,hswrk,dngoth,dngref,dngdk,dngna,icomdng,mainact,mnactic,icpdwrk,crpdwk,pdjobev,pdjobyr,emplrel,emplno,wrkctra,estsz,jbspv,njbspv,wkdcorga,iorgact,wkhct,icwhct,wkhtot,nacer2,tporgwk,isco08,wrkac6m,uemp3m,uemp12m,uemp5yr,mbtru,hincsrca,hinctnta,hincfel,icpart3,eiscedp,edulvlpb,edlvpeat,edlvpebe,edlvpdch,edlvpdcz,edupbde1,edupade2,edupade3,edlvpdee,edlvpfes,edlvpdfi,edlvpdfr,edupbgb1,edupagb2,edagepgb,edlvpdhu,edlvpdie,edupail2,edupbil1,edlvpdis,edlvpdit,edlvpdlt,edlvpenl,edlvpdno,edlvpepl,eduppl2,edlvpdpt,edlvpdru,edlvpdse,edlvpesi,pdwrkp,edctnp,uemplap,uemplip,dsbldp,rtrdp,cmsrvp,hswrkp,dngothp,dngnapp,dngrefp,dngdkp,dngnap,icomdnp,mnactp,icppdwk,crpdwkp,isco08p,emprelp,wkhtotp,eiscedf,edulvlfb,edlvfeat,edlvfebe,edlvfdch,edlvfdcz,edufbde1,edufade2,edufade3,edlvfdee,edlvffes,edlvfdfi,edlvfdfr,edufbgb1,edufagb2,edagefgb,edlvfdhu,edlvfdie,edufbil1,edufail2,edlvfdis,edlvfdit,edlvfdlt,edlvfenl,edlvfdno,edlvfepl,edlvfdpt,edlvfdru,edlvfdse,edlvfesi,emprf14,occf14b,eiscedm,edulvlmb,edlvmeat,edlvmebe,edlvmdch,edlvmdcz,edumbde1,edumade2,edumade3,edlvmdee,edlvmfes,edlvmdfi,edlvmdfr,edumbgb1,edumagb2,edagemgb,edlvmdhu,edlvmdie,edumbil1,edumail2,edlvmdis,edlvmdit,edlvmdlt,edlvmenl,edlvmdno,edlvmepl,edlvmdpt,edlvmdru,edlvmdse,edlvmesi,emprm14,occm14b,atncrse,anctry1,anctry2,region,regunit,intewde,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun,inwdds,inwmms,inwyys,inwshh,inwsmm,inwdde,inwmme,inwyye,inwehh,inwemm,inwtm
ESS8e02_3,8,2.3,23.11.2023,1,CH,1,0.8997774,0.46493992,0.41834244,30,5,60,7,8,2,2,4,2,2,2,5,5,3,2,4,3,3,2,,,66,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,1,2,1,,,1,,,,,,,,,,,,,,,,,,,,,2,8,8,6,5,7,5,7,2,3,3,4,4,2,2,3,3,5,6,5,8,6,4,2,1,2,2,3,8,4,2,66,,,6666,,,,,,,,,,,,1,1,,,191,,,,,,,,,,,,8,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,66,1,66,6666,FRE,GER,2,1,66,1,66,4,2,4,9,5,9,5,2,1,3,1,1,1,2,2,3,4,3,2,3,3,1,6,4,4,9,3,1,6,5,4,3,3,1,2,4,3,2,3,7,8,6,5,2,2,3,2,2,2,3,3,3,2,4,6,6,6,6,6,6,6,6,6,2,2,1,3,2,3,3,,,2,2,,,2,2,1,2,6,6,6,6,6,6,6,,,,1960,56,1969,6666,6666,6666,6666,6666,6666,6666,,,,1,66,66,66,66,66,66,66,,,,1,3,,,6,1,1,1,4,,,4,2,1,4,3,322,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,0,0,0,0,0,0,0,0,0,0,0,2,66,1,1,6,6,6666,1,66666,1,1,1,2,8,7,45,1,60,77,3,1200,2,1,2,2,3,1,10,1,1,3,322,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,2,66,1,6,3322,1,45,3,322,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,3,322,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,3,66,2,11100,11101,CH01,2,,3,3,1,4,5,3,3,1,1,1,3,3,4,1,3,1,1,1,1,1,1,22,11,2016,13,56,22,11,2016,14,38,37
ESS8e02_3,8,2.3,23.11.2023,3,CH,1,1.1027962,0.46493992,0.512734,60,2,6666,5,7,4,2,2,1,1,1,7,7,5,4,4,5,6,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,1,2,2,,,66,,,,,,,,,,,,,,,,,,,,,6,5,8,7,7,8,3,7,3,1,1,5,3,7,8,8,8,7,7,8,6,7,3,1,2,1,3,3,10,7,1,2,,,280,,,,,,,,,,,,6,66,,,6666,,,,,,,,,,,,10,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,66,1,66,6666,FRE,GER,2,1,66,1,66,2,4,1,10,6,10,4,2,2,5,2,2,2,1,1,3,3,1,1,1,1,2,6,2,4,10,2,5,10,2,3,3,4,2,2,8,4,3,7,7,5,5,2,3,2,2,2,2,2,3,4,8,2,1,1,1,4,6,6,6,6,6,6,6,6,6,3,3,2,2,,,55,1,,,2,1,2,6,6,6,6,6,6,6,6,,,,1953,63,6666,6666,6666,6666,6666,6666,6666,6666,,,,66,66,66,66,66,66,66,66,,,,2,66,,,2,1,2,6,3,,,3,2,1,4,3,322,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1,0,0,0,0,0,0,0,0,0,0,0,2,66,1,1,6,6,6666,1,66666,3,1,2,66666,10,0,20,1,20,1,4,5419,2,1,2,1,3,4,1,2,2,66,6666,,,6666,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,6,66,6,6,66666,6,666,2,212,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,3,322,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,3,66,2,11100,555555,CH01,2,,3,6,6,6,6,3,6,1,1,1,1,1,6,6,6,3,4,2,1,2,2,10,9,2016,10,21,10,9,2016,11,20,53
ESS8e02_3,8,2.3,23.11.2023,5,CH,1,1.0223814,0.46493992,0.47534594,45,5,300,8,9,5,2,4,5,4,3,9,9,5,88,3,5,7,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,1,2,2,2,1,,,3,,,,,,,,,,,,,,,,,,,,,2,6,9,9,8,9,8,8,3,5,2,5,3,5,1,1,2,8,10,8,8,6,6,3,1,2,1,3,7,7,1,2,,,280,,,,,,,,,,,,6,66,,,6666,,,,,,,,,,,,0,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,66,1,66,6666,GSW,000,2,1,66,1,66,2,4,2,9,3,10,5,5,2,4,2,3,2,1,1,3,2,1,1,1,1,1,6,4,4,8,3,2,7,3,5,1,2,2,2,2,3,2,6,3,6,5,6,4,2,2,3,2,4,3,4,8,3,3,6,6,6,6,6,6,2,3,1,6,6,6,2,3,2,2,,,1,1,,,2,4,1,2,2,1,6,6,6,6,6,,,,1987,29,1983,1983,1984,6666,6666,6666,6666,6666,,,,6,6,6,66,66,66,66,66,,,,2,66,,,2,2,2,6,6,,,6,2,2,3,7,800,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,18,1,0,0,0,0,0,0,0,0,0,0,0,2,66,1,1,6,6,6666,1,66666,2,3,1,2,1,0,50,1,50,86,2,2210,2,2,6,6,3,1,10,1,2,66,6666,,,6666,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,6,66,6,6,66666,6,666,7,800,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,7,720,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,11100,555555,CH04,2,,3,3,2,3,5,1,5,2,4,2,1,4,2,5,2,4,2,2,3,4,3,10,10,2016,19,5,10,10,2016,20,18,66
ESS8e02_3,8,2.3,23.11.2023,6,CH,1,1.0909243,0.46493992,0.50721425,60,4,210,5,7,3,3,2,3,4,3,8,10,5,88,88,6,8,1,,,18,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,1,2,2,2,1,,,18,,,,,,,,,,,,,,,,,,,,,3,9,9,5,6,6,8,8,2,4,2,4,2,2,2,2,4,7,3,3,8,5,3,2,1,3,2,3,10,5,1,1,,,110,,,,,,,,,,,,6,66,,,6666,,,,,,,,,,,,8,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,66,1,66,6666,GSW,000,2,1,66,1,66,4,3,3,5,3,1,5,4,3,2,4,5,55,1,2,8,4,4,2,3,2,1,6,3,3,5,2,88,88,4,6,88,3,2,2,2,3,5,5,7,9,8,0,3,2,2,3,3,4,4,2,3,2,1,1,1,1,6,6,6,6,6,6,6,6,6,3,3,2,2,,,55,3,,,2,1,2,6,6,6,6,6,6,6,6,,,,1949,67,6666,6666,6666,6666,6666,6666,6666,6666,,,,66,66,66,66,66,66,66,66,,,,2,66,,,2,1,2,6,4,,,4,2,1,2,2,229,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,0,0,0,0,1,0,0,0,0,0,0,2,66,6,2,2,1,2012,1,66666,1,1,2,66666,5,6,35,1,37,10,4,5223,2,2,6,6,3,4,1,2,2,66,6666,,,6666,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,6,66,6,6,66666,6,666,88,8888,,,8888,,,,,,,,,,,,,,,,,,,,,,,,,,4,66,88,8888,,,8888,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,2,11102,11101,CH04,2,,2,5,2,6,2,2,5,3,3,2,1,1,5,2,5,5,5,3,3,2,3,10,10,2016,16,11,10,10,2016,18,7,111
ESS8e02_3,8,2.3,23.11.2023,9,CH,1,1.0322536,0.46493992,0.4799359,90,5,60,2,2,3,2,2,2,4,4,3,2,5,1,3,4,6,2,,,66,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,1,2,2,2,1,,,1,,,,,,,,,,,,,,,,,,,,,2,4,7,1,6,4,3,6,1,4,2,4,2,2,2,3,3,3,1,2,8,4,3,3,1,2,2,2,2,2,1,2,,,240,,,,,,,,,,,,6,66,,,6666,,,,,,,,,,,,10,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,66,1,66,6666,GSW,FRE,2,2,ES,1,66,4,2,2,8,3,3,2,4,1,4,2,2,3,2,3,4,4,1,4,5,5,1,6,4,3,4,4,1,8,3,2,2,2,4,2,2,4,2,2,2,9,8,9,4,2,2,4,4,3,4,2,2,1,2,6,6,6,3,3,3,6,6,6,6,6,6,4,2,3,2,,,1,2,,,2,1,1,6,6,6,6,6,6,6,6,,,,1963,53,6666,6666,6666,6666,6666,6666,6666,6666,,,,66,66,66,66,66,66,66,66,,,,2,66,,,1,2,2,6,6,,,6,2,2,4,3,322,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,0,0,1,0,0,0,0,0,0,0,2,66,5,2,1,6,6666,1,66666,1,2,2,66666,3,2,44,1,44,41,4,7112,2,1,2,2,3,6,77,2,2,66,6666,,,6666,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,6,66,6,6,66666,6,666,3,322,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,3,322,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,3,66,2,13070,11102,CH02,2,,1,4,2,1,1,1,2,1,1,3,1,1,5,1,4,1,2,2,1,2,4,15,12,2016,10,50,15,12,2016,11,56,60
ESS8e02_3,8,2.3,23.11.2023,14,CH,1,0.89009076,0.46493992,0.41383874,60,5,270,7,10,10,2,3,2,3,3,10,10,5,7,7,5,10,2,,,66,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,1,,,2,,,,,,,,,,,,,,,,,,,,,1,5,7,7,7,7,10,7,1,4,1,5,2,5,1,1,1,7,7,5,5,4,4,2,2,1,3,3,10,10,2,66,,,6666,,,,,,,,,,,,1,2,,,280,,,,,,,,,,,,5,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,66,1,66,6666,GSW,000,2,1,66,1,66,3,3,2,10,4,5,5,2,2,5,3,2,2,2,2,2,2,2,2,2,2,1,6,4,3,10,3,4,7,5,5,5,2,2,2,4,2,3,7,88,8,8,7,5,2,2,8,4,3,3,3,3,3,2,6,6,6,4,3,3,6,6,6,6,6,6,3,3,3,3,,,55,3,,,2,1,1,6,6,6,6,6,6,6,6,,,,1948,68,6666,6666,6666,6666,6666,6666,6666,6666,,,,66,66,66,66,66,66,66,66,,,,2,66,,,1,1,2,6,4,,,4,2,1,4,3,322,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,0,0,0,0,1,0,0,0,0,0,0,2,66,6,2,2,1,2011,1,66666,2,5,1,100,10,2,42,1,46,61,1,4220,2,1,1,2,1,4,2,4,2,66,6666,,,6666,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,6,66,6,6,66666,6,666,88,8888,,,8888,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,1,113,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,3,66,2,11100,11102,CH04,2,,2,6,1,3,1,1,4,1,2,2,2,2,2,2,4,3,2,1,1,3,2,21,11,2016,17,58,21,11,2016,18,51,31
ESS8e02_3,8,2.3,23.11.2023,21,CH,1,0.89009076,0.46493992,0.41383874,60,5,120,9,9,4,2,4,3,4,3,9,9,8,9,8,8,8,1,,,88,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,2,1,2,2,,,66,,,,,,,,,,,,,,,,,,,,,6,5,9,7,8,7,9,8,1,4,1,3,4,0,4,4,4,7,2,5,9,7,2,4,2,1,2,3,9,8,2,66,,,6666,,,,,,,,,,,,1,2,,,280,,,,,,,,,,,,6,6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,66,1,66,6666,GSW,000,2,1,66,2,DE,5,2,5,10,2,2,5,4,3,2,3,4,4,2,8,3,3,2,2,3,2,1,6,4,4,3,3,2,1,2,2,3,3,2,1,5,3,2,8,7,9,10,2,1,3,4,4,4,4,1,4,2,2,4,6,6,6,6,6,6,6,6,6,3,3,3,3,2,2,3,,,88,2,,,2,2,1,1,6,6,6,6,6,6,6,,,,1961,55,1983,6666,6666,6666,6666,6666,6666,6666,,,,6,66,66,66,66,66,66,66,,,,2,66,,,2,2,2,6,6,,,6,2,2,3,3,322,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,0,0,0,0,0,0,0,0,0,0,0,2,66,1,1,6,6,6666,1,66666,1,4,2,66666,8,0,45,1,45,49,4,8300,2,2,6,6,3,1,5,1,2,66,6666,,,6666,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,6,66,6,6,66666,6,666,88,8888,,,8888,,,,,,,,,,,,,,,,,,,,,,,,,,8,88,3,322,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,1,11100,555555,CH03,2,,1,5,1,2,1,4,2,2,2,2,1,2,2,2,3,1,2,2,2,4,2,6,12,2016,18,56,6,12,2016,19,51,47
ESS8e02_3,8,2.3,23.11.2023,22,CH,1,0.9240708,0.46493992,0.4296374,30,2,6666,4,4,7,3,3,1,8,2,6,8,6,7,8,5,7,2,,,66,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,1,,,1,,,,,,,,,,,,,,,,,,,,,2,5,4,7,9,8,9,8,2,4,2,2,2,7,2,2,3,5,5,5,3,3,2,2,2,2,3,2,9,5,1,2,,,280,,,,,,,,,,,,6,66,,,6666,,,,,,,,,,,,5,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,66,1,66,6666,GSW,000,2,1,66,1,66,3,3,2,8,4,8,3,2,2,4,1,1,2,2,2,2,2,2,2,2,2,1,6,4,3,8,3,2,8,6,5,7,4,2,2,2,2,4,3,5,8,8,8,2,2,2,3,3,3,4,3,2,3,3,6,6,6,6,6,6,2,2,2,6,6,6,2,8,8,8,,,55,8,,,2,1,2,6,6,6,6,6,6,6,6,,,,1955,61,6666,6666,6666,6666,6666,6666,6666,6666,,,,66,66,66,66,66,66,66,66,,,,2,66,,,1,1,2,6,4,,,4,2,1,1,2,213,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,0,0,0,1,0,0,0,0,0,0,0,2,66,5,2,2,1,2013,1,66666,8,3,2,66666,0,0,42,1,44,13,4,8100,2,2,6,6,3,1,77,8,2,66,6666,,,6666,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,6,66,6,6,66666,6,666,2,213,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,2,213,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,2,11100,11101,CH05,2,,8,8,8,8,2,6,8,3,2,8,8,8,6,8,6,8,6,8,2,6,4,11,10,2016,16,30,11,10,2016,17,52,74
ESS8e02_3,8,2.3,23.11.2023,24,CH,1,1.1404665,0.46493992,0.5302484,5,5,30,8,5,7,2,3,2,4,3,8,6,5,5,7,7,6,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,66,,,,,,,,,,,,,,,,,,,,,6,3,8,6,7,8,6,6,2,5,1,5,2,7,3,3,3,7,7,5,8,6,5,2,2,2,1,3,8,6,2,66,,,6666,,,,,,,,,,,,1,1,,,110,,,,,,,,,,,,2,6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,66,1,66,6666,GSW,000,2,1,66,1,66,4,8,2,10,4,7,4,3,2,5,2,2,3,2,3,2,2,2,2,3,2,1,6,2,3,8,3,3,10,5,6,7,2,2,4,4,1,3,7,6,8,7,5,4,2,2,4,4,4,3,4,4,4,4,6,6,6,6,6,6,6,6,6,1,2,3,2,3,2,2,,,2,2,,,2,1,2,6,6,6,6,6,6,6,6,,,,1980,36,6666,6666,6666,6666,6666,6666,6666,6666,,,,66,66,66,66,66,66,66,66,,,,2,66,,,2,2,2,6,6,,,6,2,2,4,6,610,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,0,0,0,0,0,0,0,0,0,0,0,2,66,1,1,6,6,6666,1,66666,1,1,2,66666,2,1,24,1,24,13,4,5223,2,2,6,6,1,1,4,1,2,66,6666,,,6666,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,6,66,6,6,66666,6,666,6,620,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,323,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,3,66,1,11100,555555,CH03,2,,1,5,2,5,2,5,6,4,3,4,2,2,5,6,4,2,2,2,2,3,5,24,10,2016,13,28,24,10,2016,14,47,69
ESS8e02_3,8,2.3,23.11.2023,27,CH,1,1.1027962,0.46493992,0.512734,90,2,6666,1,3,2,1,4,1,3,3,2,7,4,6,7,2,5,1,,,18,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,66,,,,,,,,,,,,,,,,,,,,,6,8,10,6,6,8,2,2,1,5,2,5,5,5,2,3,3,7,7,4,10,5,0,1,2,2,3,3,10,5,2,66,,,6666,,,,,,,,,,,,2,66,,,6666,,,,,,,,,,,,5,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,66,2,DE,1960,FRE,GER,2,2,DE,2,DE,3,1,4,4,5,8,5,2,2,3,1,2,2,3,2,4,4,3,3,3,2,1,6,4,3,5,4,1,4,2,8,3,4,1,2,2,4,1,2,1,7,5,10,4,1,4,2,3,2,4,2,1,1,1,3,4,1,6,6,6,6,6,6,6,6,6,3,2,1,1,,,55,1,,,2,1,2,6,6,6,6,6,6,6,6,,,,1941,75,6666,6666,6666,6666,6666,6666,6666,6666,,,,66,66,66,66,66,66,66,66,,,,2,66,,,1,1,2,6,4,,,4,2,1,3,5,422,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0,0,0,0,0,1,0,0,0,0,0,0,2,66,6,2,2,1,2003,1,66666,1,4,1,4,10,7,42,1,55,65,4,1120,2,1,2,2,3,4,5,2,2,66,6666,,,6666,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,6,66,6,6,66666,6,666,5,520,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,213,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,3,66,2,11070,11100,CH01,2,,3,4,6,3,2,2,5,3,3,1,1,4,2,3,2,1,1,1,2,3,1,20,9,2016,9,1,20,9,2016,10,29,78
