name,essround,edition,proddate,idno,cntry,dweight,pspwght,pweight,anweight,nwspol,netusoft,netustm,ppltrst,pplfair,pplhlp,polintr,psppsgva,actrolga,psppipla,cptppola,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,vote,prtvtcat,prtvtdbe,prtvtdbg,prtvtgch,prtvtbcy,prtvtecz,prtvede1,prtvede2,prtvtddk,prtvtgee,prtvtees,prtvtdfi,prtvtdfr,prtvtcgb,prtvtahr,prtvtfhu,prtvtcie,prtvtcis,prtvtcit,prtvblt1,prtvblt2,prtvblt3,prtvtalv,prtvtme,prtvtgnl,prtvtbno,prtvtdpl,prtvtcpt,prtvtrs,prtvtcse,prtvtfsi,prtvtdsk,contplt,wrkprty,wrkorg,badge,sgnptit,pbldmn,bctprd,pstplonl,clsprty,prtcldat,prtcldbe,prtcldbg,prtclgch,prtclbcy,prtclecz,prtclede,prtclddk,prtclgee,prtclfes,prtclefi,prtclffr,prtclcgb,prtclahr,prtclghu,prtcleie,prtclcis,prtcldit,prtclblt,prtclalv,prtclme,prtclfnl,prtclbno,prtclhpl,prtclept,prtclrs,prtclcse,prtclfsi,prtcldsk,prtdgcl,lrscale,stflife,stfeco,stfgov,stfdem,stfedu,stfhlth,gincdif,freehms,hmsfmlsh,hmsacld,euftf,imsmetn,imdfetn,impcntr,imbgeco,imueclt,imwbcnt,happy,sclmeet,inprdsc,sclact,crmvct,aesfdrk,health,hlthhmp,atchctr,atcherp,rlgblg,rlgdnm,rlgdnbat,rlgdnbe,rlgdnach,rlgdncy,rlgdnade,rlgdnafi,rlgdngb,rlgdnhu,rlgdnie,rlgdnais,rlgdnlt,rlgdnlv,rlgdme,rlgdnnl,rlgdnno,rlgdnapl,rlgdnrs,rlgdnase,rlgdnask,rlgblge,rlgdnme,rlgdebat,rlgdebe,rlgdeach,rlgdecy,rlgdeade,rlgdeafi,rlgdegb,rlgdehu,rlgdeie,rlgdeais,rlgdelt,rlgdelv,rlgdeme,rlgdenl,rlgdeno,rlgdeapl,rlgders,rlgdease,rlgdeask,rlgdgr,rlgatnd,pray,dscrgrp,dscrrce,dscrntn,dscrrlg,dscrlng,dscretn,dscrage,dscrgnd,dscrsex,dscrdsb,dscroth,dscrdk,dscrref,dscrnap,dscrna,ctzcntr,ctzshipd,brncntr,cntbrthd,livecnta,lnghom1,lnghom2,blgetmg,facntr,fbrncntc,mocntr,mbrncntc,admdw,vteurmmb,vteumbgb,vteubcmb,evpdemp,pdempyr,lvpntyr,evlvptn,lvptnyr,evmar,maryr,bthcld,nbthcld,fcldbrn,ycldbyr,ngchld,ygcdbyr,ggchld,admge,ageadlt,agemage,ageoage,iaglptn,iagmr,iagpnt,iagrtr,tygledu,tyglvp,tygmr,tygpnt,tygrtr,tolvpnt,tochld,towkht,anvcld,alvgptn,acldnmr,aftjbyc,advcyc,plnftr,hhmmb,gndr,gndr2,gndr3,gndr4,gndr5,gndr6,gndr7,gndr8,gndr9,gndr10,gndr11,gndr12,gndr13,gndr14,gndr15,yrbrn,agea,yrbrn2,yrbrn3,yrbrn4,yrbrn5,yrbrn6,yrbrn7,yrbrn8,yrbrn9,yrbrn10,yrbrn11,yrbrn12,yrbrn13,yrbrn14,yrbrn15,rshipa2,rshipa3,rshipa4,rshipa5,rshipa6,rshipa7,rshipa8,rshipa9,rshipa10,rshipa11,rshipa12,rshipa13,rshipa14,rshipa15,rshpsts,rshpsgb,lvgptnea,dvrcdeva,marsts,marstgb,maritalb,chldhhe,domicil,eisced,edulvlb,edlveat,edlvebe,edlvebg,edlvdch,edlvgcy,edlvdcz,edubde1,eduade2,eduade3,edlvddk,edlvdee,edlvges,edlvdfi,edlvdfr,educgb1,edubgb2,edagegb,edlvehr,edlvdhu,edlvdie,edlvdis,edlveit,edlvdlt,edlvdlv,edlvdme,edlvenl,edlvdno,edlvgpl,edlvdpt,edlvdrs,edlvdse,edlvesi,edlvdsk,eduyrs,pdwrk,edctn,uempla,uempli,dsbld,rtrd,cmsrv,hswrk,dngoth,dngref,dngdk,dngna,mainact,mnactic,crpdwk,pdjobev,pdjobyr,emplrel,emplno,wrkctra,estsz,jbspv,njbspv,wkdcorga,iorgact,wkhct,icwhct,wkhtot,nacer2,tporgwk,isco08,wrkac6m,uemp3m,uemp12m,uemp5yr,mbtru,hincsrca,hinctnta,hincfel,iincsrc,eiscedp,edulvlpb,edlvpeat,edlvpebe,edlvpebg,edlvpdch,edlvpgcy,edlvpdcz,edupbde1,edupade2,edupade3,edlvpddk,edlvpdee,edlvpfes,edlvpdfi,edlvpdfr,edupcgb1,edupbgb2,edagepgb,edlvpehr,edlvpdhu,edlvpdie,edlvpdis,edlvpeit,edlvpdlt,edlvpdlv,edlvpdme,edlvpenl,edlvpdno,edlvpfpl,edlvpdpt,edlvpdrs,edlvpdse,edlvpesi,edlvpdsk,pdwrkp,edctnp,uemplap,uemplip,dsbldp,rtrdp,cmsrvp,hswrkp,dngothp,dngdkp,dngnapp,dngrefp,dngnap,mnactp,crpdwkp,isco08p,emprelp,wkhtotp,eiscedf,edulvlfb,edlvfeat,edlvfebe,edlvfebg,edlvfdch,edlvfgcy,edlvfdcz,edufbde1,edufade2,edufade3,edlvfddk,edlvfdee,edlvffes,edlvfdfi,edlvfdfr,edufcgb1,edufbgb2,edagefgb,edlvfehr,edlvfdhu,edlvfdie,edlvfdis,edlvfeit,edlvfdlt,edlvfdlv,edlvfdme,edlvfenl,edlvfdno,edlvffpl,edlvfdpt,edlvfdrs,edlvfdse,edlvfesi,edlvfdsk,emprf14,occf14b,eiscedm,edulvlmb,edlvmeat,edlvmebe,edlvmebg,edlvmdch,edlvmgcy,edlvmdcz,edumbde1,edumade2,edumade3,edlvmddk,edlvmdee,edlvmfes,edlvmdfi,edlvmdfr,edumcgb1,edumbgb2,edagemgb,edlvmehr,edlvmdhu,edlvmdie,edlvmdis,edlvmeit,edlvmdlt,edlvmdlv,edlvmdme,edlvmenl,edlvmdno,edlvmfpl,edlvmdpt,edlvmdrs,edlvmdse,edlvmesi,edlvmdsk,emprm14,occm14b,atncrse,anctry1,anctry2,region,regunit,frprtpl,gvintcz,poltran,ifredu,ifrjob,evfredu,evfrjob,fvgabc,infqbst,grspnum,grsplet,netinum,netilet,grspfr,netifr,frlgrsp,frlneti,occinfr,topinfr,btminfr,wltdffr,recskil,recexp,recknow,recimg,recgndr,sofrdst,sofrwrk,sofrpr,sofrprv,ppldsrv,jstprev,pcmpinj,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun,inwdds,inwmms,inwyys,inwshh,inwsmm,inwdde,inwmme,inwyye,inwehh,inwemm,inwtm,domain,prob,stratum,psu
ESS9e03_2,9,3.2,23.11.2023,37,CH,1,1.2296818,0.4679037,0.5753727,90,5,30,8,7,6,2,3,3,3,4,6,7,7,6,5,6,7,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,2,1,2,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,9,6,7,8,8,8,2,1,4,2,7,1,2,2,7,6,5,8,6,4,3,2,2,2,2,5,5,1,2,,,280,,,,,,,,,,,,,,,,,6,66,,,6666,,,,,,,,,,,,,,,,,2,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6666,1,6666,6666,GSW,000,2,1,6666,1,6666,2,,,1,1,1972,1972,1,1974,1,1974,1,2,1978,1984,1,2015,6,1,18,45,0,20,888,888,64,20,18,20,18,111,25,50,65,4,5,5,4,4,5,2,2,1,6,6,6,6,6,6,6,,,,,,,1951,67,1942,6666,6666,6666,6666,6666,6666,6666,,,,,,,1,66,66,66,66,66,66,66,,,,,,,1,,1,1,66,,1,1,4,4,323,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0,0,0,0,0,1,0,0,0,0,0,0,66,6,2,2,6666,6,66666,6,6,6,66666,66,66,666,6,666,666,66,66666,6,2,6,6,1,4,7,1,4,5,520,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,66,2,66666,6,666,3,322,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,2,213,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,66,2,11102,555555,CH07,2,4,3,3,8,10,7,6,2,2,666666666,66,4500,66,6,0,666666666,666666666,0,2,-2,3,3,3,2,3,3,2,4,1,4,4,2,4,2,5,2,3,4,4,6,3,4,3,1,2,4,5,5,5,5,2,2,6,4,17,9,2018,15,44,17,9,2018,17,31,92,,0.000420821,200,3050
ESS9e03_2,9,3.2,23.11.2023,50,CH,1,1.0144459,0.4679037,0.474663,30,5,60,2,5,5,3,2,1,1,2,2,2,4,2,2,2,2,2,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,10,5,3,5,5,7,2,2,5,3,5,4,4,4,0,0,0,9,5,4,2,2,2,2,2,5,3,2,66,,,6666,,,,,,,,,,,,,,,,,2,66,,,6666,,,,,,,,,,,,,,,,,0,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6666,1,6666,6666,GSW,000,2,1,6666,1,6666,2,,,2,1,1996,1996,1,2002,1,2006,1,3,2007,2013,66,6666,6,2,0,40,65,20,27,27,65,20,19,20,20,65,40,40,65,1,4,2,4,3,10,5,1,2,2,2,1,6,6,6,6,,,,,,,1979,39,1982,2007,2010,2013,6666,6666,6666,6666,,,,,,,1,2,2,2,66,66,66,66,,,,,,,1,,1,2,66,,1,6,5,2,229,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,1,66666,1,3,1,3,9,8,45,1,45,41,4,8114,2,2,6,6,3,1,77,2,1,2,229,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,66,2,66666,6,666,2,229,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,2,213,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,66,2,11100,555555,CH03,2,2,2,2,5,8,8,8,1,2,777777777,77,777777777,77,0,0,666666666,666666666,0,-3,-3,0,2,2,2,2,2,2,2,2,3,2,2,2,2,5,2,2,2,5,5,5,2,2,2,2,5,5,5,2,2,5,2,5,5,1,9,2018,14,5,1,9,2018,15,35,70,,0.000420821,196,3608
ESS9e03_2,9,3.2,23.11.2023,51,CH,1,1.2024298,0.4679037,0.56262136,60,1,6666,7,8,5,1,2,2,3,2,7,5,7,7,7,5,5,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,7,7,7,7,6,8,2,2,3,3,7,2,2,2,7,7,7,8,6,3,2,2,2,2,3,9,7,2,66,,,6666,,,,,,,,,,,,,,,,,1,1,,,110,,,,,,,,,,,,,,,,,5,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6666,1,6666,6666,FRE,000,2,1,6666,1,6666,2,,,2,1,1969,1972,1,1972,1,1972,1,3,1972,1977,5,2008,6,2,25,30,80,25,25,30,65,17,20,20,20,60,35,45,60,3,3,3,3,2,8,2,2,1,6,6,6,6,6,6,6,,,,,,,1951,67,1943,6666,6666,6666,6666,6666,6666,6666,,,,,,,1,66,66,66,66,66,66,66,,,,,,,1,,2,2,66,,1,1,4,4,312,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,0,0,0,0,1,0,0,0,0,0,0,66,6,2,1,2011,1,66666,2,1,2,66666,7,2,18,1,18,1,6,4120,2,2,6,6,3,4,77,2,4,5,520,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,66,2,66666,6,666,2,213,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,1,113,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,66,2,11102,555555,CH04,2,3,4,4,8,7,5,5,2,2,666666666,66,777777777,77,6,0,666666666,666666666,1,0,-2,2,3,3,2,1,2,2,2,2,4,3,3,3,3,4,4,6,2,4,5,2,3,2,2,3,4,3,5,3,4,3,2,5,3,17,9,2018,14,23,17,9,2018,15,40,70,,0.000420821,195,4309
ESS9e03_2,9,3.2,23.11.2023,76,CH,1,0.95423603,0.4679037,0.4464906,30,5,150,8,8,6,2,4,3,3,4,7,9,9,6,5,8,8,2,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,2,2,1,2,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,8,8,7,9,6,5,2,1,5,2,5,1,2,2,6,3,4,8,6,4,3,2,1,2,3,8,4,1,2,,,280,,,,,,,,,,,,,,,,,6,66,,,6666,,,,,,,,,,,,,,,,,6,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6666,1,6666,6666,GSW,000,2,1,6666,1,6666,3,,,2,1,2005,2005,1,2009,2,6666,2,66,6666,6666,66,6666,6,1,22,35,70,24,27,28,62,20,22,24,24,60,26,37,55,5,5,5,4,5,3,1,2,6,6,6,6,6,6,6,6,,,,,,,1981,37,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,,66,66,66,66,66,66,66,66,,,,,,,66,,1,2,6,,6,2,4,6,610,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,1,0,0,0,0,0,0,1,0,0,0,0,1,1,6,6,6666,1,66666,1,3,2,66666,8,3,44,1,44,85,2,2330,2,2,6,6,1,1,4,1,66,66,6666,,,,6666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,66,6,66666,6,666,3,322,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,3,322,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,66,1,11101,888888,CH01,2,4,3,3,10,8,8,6,1,2,6500,66,6100,66,0,0,666666666,666666666,0,4,-4,4,4,4,3,3,2,4,2,2,5,3,2,2,2,6,2,2,1,4,4,2,1,4,1,1,3,3,5,2,3,1,2,2,5,3,9,2018,18,4,3,9,2018,19,33,79,,0.000420821,197,4006
ESS9e03_2,9,3.2,23.11.2023,208,CH,1,1.1288677,0.4679037,0.5282014,30,5,120,8,5,3,2,8,4,4,4,88,10,10,88,88,88,8,3,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,10,10,88,10,10,88,8,1,5,1,0,2,3,3,8,6,6,10,6,3,4,2,1,1,3,8,8,2,66,,,6666,,,,,,,,,,,,,,,,,1,2,,,280,,,,,,,,,,,,,,,,,0,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,NO,2,NO,2015,ENG,NOR,2,2,NO,2,NO,2,,,2,1,2007,2007,2,6666,2,6666,2,66,6666,6666,66,6666,6,1,20,0,0,0,0,30,65,18,18,888,20,65,30,45,0,5,5,5,5,5,1,1,1,6,6,6,6,6,6,6,6,,,,,,,1987,31,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,,66,66,66,66,66,66,66,66,,,,,,,66,,2,2,6,,6,2,3,7,720,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,1,66666,2,5,2,66666,9,1,41,1,50,74,3,2410,1,2,6,6,3,1,3,1,66,66,6666,,,,6666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,66,6,66666,6,666,3,322,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,4,313,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,12040,555555,CH04,2,8,8,8,10,10,9,88,1,2,4583,66,888888888,88,0,0,666666666,666666666,0,0,0,0,8,8,8,8,8,3,1,1,3,2,4,4,2,3,2,4,1,3,1,3,2,2,3,6,1,1,3,1,1,1,1,3,1,18,9,2018,9,0,18,9,2018,9,50,43,,0.000420821,195,3950
ESS9e03_2,9,3.2,23.11.2023,239,CH,1,0.98113596,0.4679037,0.45907715,90,1,6666,4,3,4,2,2,1,1,1,3,0,2,7,7,6,88,3,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,1,2,2,2,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,4,6,6,5,88,5,1,3,7,7,2,2,2,3,6,7,6,5,7,3,2,2,2,3,2,5,6,1,1,,,110,,,,,,,,,,,,,,,,,6,66,,,6666,,,,,,,,,,,,,,,,,7,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,IT,2,IT,1961,FRE,ITA,2,2,IT,2,IT,1,,,2,1,1961,1961,1,1968,1,1968,1,1,1968,6666,3,1995,2,1,18,30,0,0,0,0,0,16,18,18,18,0,25,40,0,5,5,5,5,5,8,1,1,6,6,6,6,6,6,6,6,,,,,,,1928,90,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,,66,66,66,66,66,66,66,66,,,,,,,66,,2,1,4,,4,1,3,1,113,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,0,0,66,6,2,1,1990,1,66666,1,3,2,66666,2,0,888,1,888,28,4,8180,2,2,6,6,2,4,3,3,66,66,6666,,,,6666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,66,6,66666,6,666,1,113,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,1,113,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,66,2,13040,555555,CH03,2,2,2,3,88,88,88,88,2,2,666666666,66,777777777,77,6,3,666666666,777777777,-3,-3,-3,3,3,3,3,2,2,2,2,1,4,3,4,4,4,4,2,5,2,5,3,3,3,5,3,3,4,2,5,2,2,2,4,2,5,10,9,2018,12,58,10,9,2018,13,35,31,,0.000420821,195,3281
ESS9e03_2,9,3.2,23.11.2023,246,CH,1,0.87253267,0.4679037,0.40826127,120,4,90,5,4,4,3,2,2,2,3,6,6,6,5,4,4,5,2,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,1,2,1,2,1,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,6,6,6,6,3,4,2,2,4,3,5,2,2,3,6,6,5,6,6,1,3,2,2,2,3,7,5,1,1,,,110,,,,,,,,,,,,,,,,,6,66,,,6666,,,,,,,,,,,,,,,,,6,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6666,1,6666,6666,FRE,000,2,2,IT,1,6666,1,,,2,1,1996,2000,1,2000,1,2006,1,3,2007,2013,66,6666,6,2,25,38,70,25,25,26,50,20,18,25,25,50,25,40,70,3,3,3,3,3,5,5,1,2,2,2,2,6,6,6,6,,,,,,,1980,38,1981,2007,2010,2013,6666,6666,6666,6666,,,,,,,1,2,2,2,66,66,66,66,,,,,,,1,,2,2,66,,1,6,4,5,421,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,1,66666,1,3,2,66666,9,7,40,1,40,41,4,7223,2,2,6,6,3,1,5,2,1,2,213,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,66,2,66666,6,666,1,113,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,3,322,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,2,11100,13040,CH05,2,2,2,2,8,4,6,6,1,2,777777777,5,777777777,5,0,0,666666666,666666666,0,0,0,0,2,3,3,4,3,2,3,3,3,2,3,2,2,4,3,3,3,2,4,3,2,3,3,3,4,3,3,3,3,3,2,4,3,12,9,2018,16,14,12,9,2018,17,20,59,,0.000420821,196,3649
ESS9e03_2,9,3.2,23.11.2023,258,CH,1,1.0112634,0.4679037,0.4731739,30,5,240,8,5,9,2,5,2,4,5,9,10,10,7,5,5,5,1,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,2,2,2,1,2,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,10,10,9,9,10,8,2,2,5,2,5,1,1,2,9,7,9,8,6,4,2,2,1,2,3,8,5,1,2,,,280,,,,,,,,,,,,,,,,,6,66,,,6666,,,,,,,,,,,,,,,,,3,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6666,1,6666,6666,GSW,000,2,1,6666,1,6666,3,,,2,1,2016,2015,2,6666,2,6666,2,66,6666,6666,66,6666,6,1,18,45,75,25,30,30,0,40,0,18,18,40,35,65,0,3,3,3,3,2,6,3,1,2,1,6,6,6,6,6,6,,,,,,,1999,19,1956,1958,6666,6666,6666,6666,6666,6666,,,,,,,3,3,66,66,66,66,66,66,,,,,,,66,,2,2,6,,6,2,3,4,313,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0,1,0,0,0,0,0,0,0,0,0,0,66,2,1,6,6666,1,66666,1,1,2,66666,7,8,666,2,6,69,4,99999,2,2,6,6,3,1,8,1,1,66,6666,,,,6666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,66,6,66666,6,666,7,720,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,312,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,11100,11101,CH01,2,5,4,4,10,5,10,4,1,2,1000,66,900,66,0,0,666666666,666666666,0,0,-2,-1,3,3,2,1,1,4,2,2,4,3,2,2,2,5,1,5,1,2,4,2,2,1,2,2,4,2,4,3,3,2,2,3,3,12,10,2018,17,1,12,10,2018,18,1,54,,0.000420821,196,3580
ESS9e03_2,9,3.2,23.11.2023,301,CH,1,0.9637913,0.4679037,0.45096153,30,4,120,8,8,7,3,4,1,3,3,7,7,7,7,7,7,7,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,9,7,6,8,8,5,2,1,5,2,5,1,2,2,7,9,5,9,6,5,3,2,1,1,3,8,6,1,2,,,280,,,,,,,,,,,,,,,,,6,66,,,6666,,,,,,,,,,,,,,,,,2,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6666,1,6666,6666,GSW,000,2,1,6666,1,6666,1,,,2,1,2008,2012,1,2016,2,6666,2,66,6666,6666,66,6666,6,1,15,45,60,26,29,29,64,14,18,20,24,18,25,40,60,3,3,3,3,2,6,2,2,1,6,6,6,6,6,6,6,,,,,,,1990,28,1987,6666,6666,6666,6666,6666,6666,6666,,,,,,,3,66,66,66,66,66,66,66,,,,,,,66,,1,2,6,,6,2,4,6,610,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,1,66666,1,5,2,66666,7,0,42,1,43,86,2,2423,2,2,6,6,3,1,10,1,1,66,6666,,,,6666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,66,6,66666,6,666,7,720,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,322,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,2,11101,555555,CH01,2,3,3,3,8,8,7,5,1,2,6500,66,5800,66,0,0,666666666,666666666,0,0,-1,2,4,4,2,2,1,4,2,2,4,4,3,3,3,5,3,5,3,4,2,2,2,3,4,2,5,3,5,3,3,2,2,3,3,10,9,2018,18,15,10,9,2018,19,26,63,,0.000420821,196,3876
ESS9e03_2,9,3.2,23.11.2023,382,CH,1,0.87253267,0.4679037,0.40826127,90,5,120,6,5,5,1,3,5,3,4,7,7,5,6,5,1,3,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,1,2,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,10,6,7,7,9,7,4,2,4,2,2,3,3,3,1,1,5,8,5,4,2,2,2,2,2,10,2,1,2,,,280,,,,,,,,,,,,,,,,,6,66,,,6666,,,,,,,,,,,,,,,,,5,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6666,1,6666,6666,GSW,000,2,1,6666,1,6666,1,,,2,1,1998,2001,1,2005,1,2005,1,2,2014,2017,66,6666,6,2,18,45,70,20,25,30,65,18,16,16,16,40,40,60,70,3,3,3,3,3,1,4,1,2,2,2,6,6,6,6,6,,,,,,,1983,35,1991,2014,2017,6666,6666,6666,6666,6666,,,,,,,1,2,2,66,66,66,66,66,,,,,,,1,,1,1,66,,1,6,4,7,710,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,1,0,0,0,0,0,0,0,0,0,0,0,66,1,6,6,6666,1,66666,1,3,1,50,10,8,42,1,50,46,4,1220,2,2,6,6,3,1,8,1,1,3,322,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,66,6,7131,1,9,3,322,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,3,322,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,1,11101,11102,CH05,2,3,3,3,10,10,5,5,1,2,8500,66,7600,66,-1,-1,9500,8500,-1,0,-3,-2,4,3,1,1,1,3,2,2,2,4,4,4,3,5,4,3,2,1,2,3,5,3,1,1,1,1,2,3,1,1,1,1,1,12,9,2018,17,52,12,9,2018,19,9,71,,0.000420821,196,4139
